obsId obs stdev ODirE ODirN ODirU E N U CODE lon lat
0752 0.0 1.0 0 0 1 -397.77475 -562.60824  0.00000 0752  139.05700  36.53900
0753 0.0 1.0 0 0 1 -381.37201 -622.84686  0.00000 0753  139.26900  36.00400
0754 0.0 1.0 0 0 1 -389.80635 -635.82349  0.00000 0754  139.18200  35.88400
0755 0.0 1.0 0 0 1 -373.57459 -645.75224  0.00000 0755  139.36600  35.80100
0756 0.0 1.0 0 0 1 -295.62095 -705.66902  0.00000 0756  140.24900  35.28800
0758 0.0 1.0 0 0 1 -374.07443 -666.30003  0.00000 0758  139.37000  35.61600
0759 0.0 1.0 0 0 1 -353.94011 -717.69008  0.00000 0759  139.61400  35.16100
0780 0.0 1.0 0 0 1 -61.89245  343.44105  0.00000 0780  142.71800  44.78000
0781 0.0 1.0 0 0 1 -135.34878  328.99852  0.00000 0781  141.79400  44.64000
0782 0.0 1.0 0 0 1 -98.44113  297.76919  0.00000 0782  142.26500  44.36500
0783 0.0 1.0 0 0 1 -146.80194  274.66177  0.00000 0783  141.66500  44.14900
0784 0.0 1.0 0 0 1  81.05537  226.18993  0.00000 0784  144.50600  43.72300
0785 0.0 1.0 0 0 1 -171.82059  216.89644  0.00000 0785  141.37100  43.62400
0787 0.0 1.0 0 0 1 -69.38228  193.72698  0.00000 0787  142.64300  43.43200
0790 0.0 1.0 0 0 1 -115.48992  139.01986  0.00000 0790  142.08500  42.93400
0792 0.0 1.0 0 0 1 -199.06361  83.89789  0.00000 0792  141.08100  42.42100
0793 0.0 1.0 0 0 1 -28.60722  88.35038  0.00000 0793  143.15200  42.48600
0794 0.0 1.0 0 0 1 -259.46973  31.81843  0.00000 0794  140.37100  41.93500
0795 0.0 1.0 0 0 1 -175.13866 -202.50086  0.00000 0795  141.45300  39.84900
0796 0.0 1.0 0 0 1 -217.15478 -281.63880  0.00000 0796  140.98800  39.12700
0797 0.0 1.0 0 0 1 -250.65026 -407.63656  0.00000 0797  140.64600  37.98400
0799 0.0 1.0 0 0 1 -297.22372 -356.06323  0.00000 0799  140.09500  38.43400
0801 0.0 1.0 0 0 1 -364.50965 -508.69720  0.00000 0801  139.40200  37.03700
0802 0.0 1.0 0 0 1 -406.55149 -535.60660  0.00000 0802  138.94500  36.77800
