Tid lon lat E[km] N[km] dep[km] strike dip Area[km2] idP1 idP2 idP3
301  143.51  37.72   0.554  -440.477  9.402   197.657  4.622   183.549   142 140 134
302  143.41  38.44  -7.674  -360.739  11.385  186.307  5.925   213.831   150 67 112
303  143.83  38.72   28.743 -329.575  8.525   192.300  4.189   228.792   166 137 160
304  142.57  39.43  -80.108 -250.663  27.813  195.125  14.310  362.220   108 98 75
305  141.09  37.02  -214.202 -515.792  52.608  212.682  25.485  354.464   228 225 227
306  142.52  39.88  -84.175 -200.787  33.035  195.380  17.016  369.416   209 106 188
307  143.28  38.05  -19.552 -404.513  12.180  189.903  5.942   244.912   159 90 124
308  142.24  40.28  -106.986 -155.474  45.226  192.315  21.590  342.992   6 8 190
309  142.56  37.56  -82.899 -458.628  18.593  200.901  10.652  246.023   114 102 64
31  141.83  35.43  -151.361 -693.155  12.172  188.894  12.596  506.816   201 49 50
310  142.26  35.81  -112.149 -651.539  8.827   210.318  7.214   326.561   44 216 236
311  143.39  39.17  -9.350  -279.774  13.819  196.806  7.766   245.563   164 65 163
312  141.74  37.97  -154.274 -412.004  42.871  194.745  21.471  463.017   103 57 74
313  143.97  38.77   40.856 -323.774  7.797   195.262  3.889   291.055   166 20 137
314  143.37  38.25  -11.701 -382.478  11.646  181.788  5.910   215.483   150 124 133
315  142.04  39.88  -124.804 -199.590  47.828  197.296  23.569  406.611   187 189 10
316  141.99  38.54  -131.291 -349.156  39.663  188.863  20.328  395.031   154 55 56
317  144.09  39.99   50.241 -188.330  8.601   198.438  4.762   442.076   9 197 51
318  141.25  38.47  -196.598 -354.626  67.811  191.982  26.968  422.851   180 22 178
319  143.33  38.65  -14.487 -338.025  12.440  190.189  6.699   238.733   129 89 112
32  142.85  38.34  -56.704 -372.025  18.123  184.276  10.663  227.671   153 152 117
320  141.02  37.91  -218.319 -416.232  71.693  194.436  28.222  315.039   174 176 27
321  144.11  39.62   52.593 -229.812  7.805   180.843  4.466   155.890   100 13 52
322  142.46  36.38  -93.013 -588.689  9.989   211.504  5.279   166.824   203 235 202
323  141.90  36.84  -142.323 -537.307  21.803  203.121  16.689  333.856   96 61 62
324  141.27  38.14  -195.132 -392.099  63.081  192.860  25.966  367.728   178 176 177
325  143.27  38.42  -20.347 -363.129  12.786  183.229  7.037   180.393   150 112 143
326  143.51  39.36   0.532  -258.411  13.136  189.248  7.905   237.280   164 161 162
327  141.71  38.31  -156.769 -373.869  47.764  193.708  23.610  426.957   103 56 179
328  142.77  37.34  -64.223 -483.203  13.952  210.776  8.020   290.813   146 115 102
329  142.37  40.07  -95.964 -178.892  38.954  193.212  19.768  312.596   189 106 190
33  142.36  39.93  -97.515 -194.975  37.915  197.756  20.455  341.854   188 106 189
330  141.67  37.01  -162.545 -517.607  31.150  204.782  22.946  405.331   78 60 61
331  143.49  40.41  -0.622  -142.167  16.116  194.323  9.137   434.768   210 207 205
332  143.94  38.53   38.784 -351.216  7.657   182.303  3.292   193.574   166 93 23
333  141.46  37.38  -180.872 -476.436  45.781  198.418  25.131  412.527   88 58 59
334  141.52  39.00  -171.727 -296.797  60.476  188.017  26.876  382.348   184 17 182
335  143.08  37.87  -37.059 -424.491  13.659  196.000  7.595   267.171   159 113 126
336  143.04  37.41  -40.683 -475.383  11.655  207.500  6.585   230.094   135 125 115
337  143.50  38.79   0.023  -322.246  11.233  196.225  6.239   179.219   129 91 122
338  143.86  37.85   31.389 -426.370  7.661   193.230  3.261   139.709   72 29 28
339  142.03  39.07  -127.003 -289.586  40.833  184.925  21.723  271.466   54 53 185
34  143.97  38.41   41.126 -364.289  7.503   180.581  3.290   181.281   93 24 23
340  142.51  37.44  -87.418 -471.342  18.326  209.063  10.846  319.358   114 86 102
341  143.55  37.96   4.277  -414.475  9.729   195.467  5.021   238.989   141 90 140
342  142.70  39.68  -68.931 -223.175  27.000  195.776  13.961  385.006   209 108 136
