%Tid lon lat E[km] N[km] dep[km] strike dip Area[km2] idP1 idP2 idP3
309  140.43  35.82  -277.277 -647.284  55.773  192.180  20.547  455.419   132 133 194
31  142.91  39.94  -50.695 -194.509  24.472  195.414  13.511  718.343   117 80 118
310  140.03  35.05  -316.147 -731.313  71.268  171.841  32.048  919.136   134 136 203
311  140.74  36.42  -247.279 -581.338  51.606  204.367  18.840  321.736   200 198 207
312  141.13  38.50  -206.970 -351.133  73.341  191.214  27.232  430.486   93 156 172
313  140.51  38.92  -259.467 -303.916  106.710  191.710  30.070  1106.391  178 43 60
314  141.24  37.24  -200.367 -491.581  51.875  203.568  25.824  393.874   122 181 184
315  142.71  42.07  -65.203  42.178  55.301  211.524  26.516  1724.751  46 148 65
316  141.98  40.72  -128.690 -106.436  59.247  194.130  24.191  849.654   110 107 104
317  141.83  37.65  -147.108 -447.736  36.294  195.836  21.195  750.447   33 175 128
318  139.98  36.27  -316.117 -596.058  79.269  194.436  32.388  1296.389  124 59 58
319  141.74  40.28  -150.056 -155.411  63.843  191.838  26.132  945.109   78 104 109
32  143.16  39.56  -29.166 -236.846  18.132  185.798  9.475   1039.775  119 70 80
320  141.35  39.38  -184.815 -254.045  70.930  190.731  28.589  471.823   106 95 100
321  141.37  39.22  -184.039 -271.629  68.811  189.778  28.463  448.668   171 100 95
322  142.26  39.60  -106.685 -230.883  37.432  198.755  19.376  504.463   98 35 101
323  140.38  35.55  -282.516 -676.656  55.925  186.111  20.849  308.965   133 137 204
324  142.69  42.35  -66.665  73.399  68.691  226.416  36.757  2092.659  65 40 46
325  141.26  40.12  -190.535 -171.974  82.716  190.857  29.001  1081.190  48 105 109
326  140.95  35.51  -231.530 -682.530  38.101  183.373  18.471  308.845   195 163 196
327  140.84  37.85  -233.941 -423.079  78.722  197.244  27.719  329.796   179 120 157
328  143.09  37.72  -35.779 -440.959  12.962  196.072  7.088   879.601   116 69 42
329  143.35  38.59  -13.024 -343.910  12.378  188.496  6.690   858.966   114 53 115
33  140.85  35.43  -240.961 -691.865  41.083  182.894  18.573  241.754   195 197 163
330  143.08  40.67  -35.573 -113.159  25.687  189.233  15.238  1694.684  39 77 52
